country_cd,country_name,state_cd,state_name
US,United States,AL,Alabama
US,United States,AK,Alaska
US,United States,AZ,Arizona
US,United States,AR,Arkansas
US,United States,CA,California
US,United States,CO,Colorado
US,United States,CT,Connecticut
US,United States,DE,Delaware
US,United States,FL,Florida
US,United States,GA,Georgia
US,United States,HI,Hawaii
US,United States,ID,Idaho
US,United States,IL,Illinois
US,United States,IN,Indiana
US,United States,IA,Iowa
US,United States,KS,Kansas
US,United States,KY,Kentucky
US,United States,LA,Louisiana
US,United States,ME,Maine
US,United States,MD,Maryland
US,United States,MA,Massachusetts
US,United States,MI,Michigan
US,United States,MN,Minnesota
US,United States,MS,Mississippi
US,United States,MO,Missouri
US,United States,MT,Montana
US,United States,NE,Nebraska
US,United States,NV,Nevada
US,United States,NH,New Hampshire
US,United States,NJ,New Jersey
US,United States,NM,New Mexico
US,United States,NY,New York
US,United States,NC,North Carolina
US,United States,ND,North Dakota
US,United States,OH,Ohio
US,United States,OK,Oklahoma
US,United States,OR,Oregon
US,United States,PA,Pennsylvania
US,United States,RI,Rhode Island
US,United States,SC,South Carolina
US,United States,SD,South Dakota
